volume peso recompensa duração(s)
16 6 1907 397
10 13 347 187
7 16 789 650
9 25 849 1008
6 22 597 540
3 23 571 632
13 16 1838 354
26 22 1065 616
7 13 734 917
19 3 1982 619
19 22 1260 355
10 29 1065 111
28 22 330 563
10 6 1765 970
3 10 984 463
6 16 618 1039
3 3 355 869
7 10 1672 419
22 28 1002 795
26 26 1170 838
7 20 1577 1043
22 19 602 291
6 6 779 122
26 29 267 777
19 28 486 840
16 3 279 744
7 26 1257 632
22 9 1805 279
6 16 647 872
20 20 418 893
19 9 1897 881
22 22 318 898
29 16 584 203
16 22 491 581
16 3 477 194
29 20 1972 641
9 16 814 281
13 6 1475 889
7 20 1241 674
16 28 1863 653
22 10 1233 546
20 13 848 198
22 22 626 1048
13 10 629 410
29 16 1442 123
19 16 1319 385
19 16 1012 845
20 16 1200 991
25 22 580 176
19 6 324 237
10 13 414 478
28 6 1953 299
16 29 1142 878
13 3 690 686
19 28 213 755
22 29 1448 487
26 7 618 442
19 28 512 778
6 13 1713 686
3 13 1313 1080
16 16 1633 195
6 29 834 900
20 3 1785 160
16 28 935 528
16 29 1083 521
7 7 828 643
28 6 1636 436
3 19 901 980
20 16 823 524
9 6 1467 681
3 13 355 737
20 23 1551 986
22 28 1717 549
29 10 243 775
13 23 916 1026
19 3 638 618
10 22 1694 969
13 26 1639 927
19 3 1547 279
13 6 1062 195
20 7 894 300
19 16 1489 751
19 19 1990 106
29 26 1522 215
16 3 704 1025
16 16 878 697
13 29 626 332
28 6 1208 309
19 19 1956 207
7 29 598 161
19 3 522 1009
26 26 1261 1009
20 13 1054 815
6 19 996 631
19 22 691 728
20 23 204 293
9 9 427 447
19 13 884 455
3 10 1791 520
19 13 1040 651
6 22 666 504
10 13 1315 328
13 6 1987 926
16 29 1002 441
29 23 1148 789
22 6 683 553
10 6 542 430
23 29 957 387
16 16 706 408
19 22 1897 986
13 13 967 355
25 13 546 1056
19 13 1875 107
29 10 1657 287
3 13 1306 202
16 3 227 464
13 20 1951 729
13 6 1699 1020
22 19 470 470
13 23 560 244
25 22 861 590
19 22 1440 777
23 23 1366 481
28 19 1240 826
26 6 774 314
23 7 936 609
19 16 1351 615
19 26 309 271
7 10 1630 963
22 22 265 766
29 19 1268 1095
23 29 1232 389
28 16 327 1010
22 3 1565 763
13 16 1785 297
13 6 580 558
22 29 1500 828
7 16 764 617
28 25 952 377
10 19 709 692
20 13 636 446
16 3 1518 1053
10 6 1747 577
23 3 1396 143
25 22 471 448
26 22 1513 447
3 3 699 786
3 13 530 916
6 10 465 900
3 13 751 234
6 6 1058 294
3 3 1563 535
10 23 1205 1088
6 19 1185 822
19 26 836 356
7 13 1210 414
6 19 406 430
16 16 772 229
3 23 697 699
19 22 1200 449
13 10 606 592
23 7 983 372
22 28 347 1058
16 16 527 1100
23 20 1786 1041
22 9 1509 598
6 10 713 921
20 16 851 446
25 13 609 1070
22 10 1848 196
3 16 1391 846
28 22 1166 491
26 29 610 917
16 29 1730 638
6 6 1921 197
26 22 1165 1100
23 16 1936 498
13 6 490 406
10 29 1194 399
23 23 881 353
19 6 1813 756
6 3 1176 551
13 13 1679 146
28 6 707 517
26 16 1303 358
7 3 1607 273
13 9 1857 1017
19 29 1523 353
10 26 1843 187
6 6 442 900
19 10 1820 348
7 10 801 919
3 22 1768 195
3 16 1105 256
16 3 836 819
22 25 224 467
10 10 553 631
13 16 1894 625
3 16 753 124
29 16 1369 817
20 23 1325 338
